Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:03:53	17693.14	1669.72	1722.69	907.37	953.60	523.70	490.85	323.43	298.72	233.97	235.56	205.14	189.75	177.50	175.85	173.96	176.66	173.05	168.55	158.59	140.24	125.80	113.60	112.27	110.42	109.20	103.57	105.11	107.02	115.75	124.13	137.86	147.37	161.31	165.54	163.07	158.06	979.84
Feb 22 2023 18:03:54	17841.30	1485.46	1651.19	832.61	876.07	494.19	467.59	298.26	274.31	211.35	216.54	186.59	175.15	160.52	158.89	155.99	159.01	156.07	152.84	147.17	133.09	124.26	114.63	114.69	112.51	111.80	105.85	107.18	108.49	117.80	126.27	142.02	152.46	170.11	175.79	175.55	170.95	979.87
Feb 22 2023 18:03:55	17299.03	1009.10	1033.18	601.13	607.49	375.82	340.39	239.39	219.29	181.36	188.28	169.18	161.49	153.53	155.40	156.66	162.87	165.58	161.40	159.98	146.04	138.55	128.60	128.45	126.20	124.24	117.98	118.98	120.95	130.12	138.98	153.99	163.64	179.44	181.51	178.45	170.50	979.86
Feb 22 2023 18:03:56	16309.64	1104.30	1035.79	620.94	617.11	383.74	345.22	241.69	217.73	178.98	184.55	165.89	156.49	148.56	149.32	149.48	154.87	156.00	152.70	153.18	142.25	137.32	129.97	131.02	129.19	127.87	122.93	125.38	128.84	139.75	149.98	166.63	177.21	194.44	196.49	193.21	184.32	979.87
Feb 22 2023 18:03:57	18121.60	857.79	910.36	538.22	553.15	334.43	310.87	218.47	201.29	164.83	170.55	153.81	147.91	141.18	142.32	143.53	148.36	148.76	147.57	144.39	134.09	128.00	120.65	120.77	118.45	116.61	111.49	113.01	115.81	125.06	134.25	148.88	158.73	173.88	176.53	173.24	165.20	979.90
Feb 22 2023 18:03:58	19478.35	1015.26	1021.49	602.48	599.24	376.67	335.63	237.65	213.87	174.37	179.49	157.30	147.51	137.29	135.16	134.28	137.25	138.65	136.22	137.80	128.75	125.65	118.47	118.35	114.51	111.04	103.67	102.84	103.23	110.34	117.40	130.48	139.09	152.97	155.75	153.59	147.03	979.90
Feb 22 2023 18:03:59	21925.77	1064.16	1056.59	646.87	650.15	424.00	376.16	261.30	231.44	181.60	185.31	159.28	144.32	130.79	127.41	124.79	126.47	128.05	122.44	121.47	110.16	105.36	97.31	96.60	92.08	88.97	80.51	78.67	76.72	81.13	84.95	93.66	99.42	109.75	112.16	110.82	106.53	979.93
Feb 22 2023 18:04:00	25146.47	776.67	737.65	503.22	492.28	313.00	272.52	197.42	169.95	130.64	127.79	108.74	94.77	86.53	81.59	80.59	80.08	81.47	76.77	76.94	67.65	64.30	55.97	55.08	50.04	49.53	42.75	42.34	39.40	41.35	41.56	45.74	46.98	52.15	51.38	50.19	46.29	979.95
Feb 22 2023 18:04:01	24242.63	930.65	964.53	596.54	607.33	375.97	336.27	233.53	205.13	155.99	156.67	131.39	115.32	101.60	95.21	91.62	89.88	89.13	85.51	84.10	75.63	71.03	63.20	62.27	58.25	57.48	51.11	50.68	48.36	51.24	52.60	57.92	60.69	66.75	67.82	66.72	64.30	979.98
Feb 22 2023 18:04:02	23318.42	1013.76	1059.27	653.76	663.04	398.02	358.50	243.11	214.14	163.04	164.78	140.78	124.01	110.98	105.60	102.78	102.46	101.94	98.19	95.79	85.70	79.25	70.60	68.86	64.98	63.98	58.02	57.66	56.14	59.64	62.15	68.57	72.85	80.31	82.38	81.34	78.83	980.00
Feb 22 2023 18:04:03	23005.52	1105.26	1033.18	648.40	640.78	405.49	354.90	245.00	214.74	172.12	174.31	151.52	132.92	119.37	113.20	108.95	108.23	105.04	100.53	96.66	85.47	78.67	70.18	69.24	65.83	64.93	59.40	59.70	58.94	63.56	66.82	74.42	79.29	88.28	90.67	90.46	88.00	980.01
Feb 22 2023 18:04:04	18801.55	952.19	929.94	563.13	573.68	358.12	327.11	231.63	212.27	175.80	183.92	166.92	159.21	152.23	154.24	155.73	160.98	161.23	155.76	151.54	136.19	127.22	117.40	117.03	114.07	111.85	105.66	106.52	108.06	116.42	124.57	138.93	148.21	164.36	166.60	165.38	158.29	980.02
Feb 22 2023 18:04:05	18331.40	1294.09	1282.04	684.69	688.40	416.09	365.10	258.95	232.82	194.00	199.63	183.23	173.93	168.91	171.52	173.62	179.00	177.77	171.07	166.05	148.09	136.84	124.72	123.22	118.69	114.83	107.15	106.84	107.51	115.66	123.10	137.09	145.62	161.02	163.62	162.21	156.22	980.06
Feb 22 2023 18:04:06	20927.12	1642.59	1841.86	783.31	826.77	460.42	420.38	272.81	245.72	193.98	194.77	166.79	148.73	133.31	125.77	119.37	117.36	111.22	106.18	103.83	93.50	89.12	82.26	82.95	79.32	78.70	73.49	75.10	75.61	82.34	87.49	97.92	105.10	117.11	120.97	120.90	118.17	980.09
Feb 22 2023 18:04:07	20699.72	1208.03	1228.29	687.26	722.52	413.28	384.55	264.50	240.12	192.01	197.23	175.15	160.50	149.52	145.76	144.18	145.10	141.44	135.91	127.76	112.22	101.61	91.56	90.81	87.68	86.30	80.88	82.14	82.92	89.95	95.68	106.80	113.65	125.70	127.86	126.25	120.82	980.09
Feb 22 2023 18:04:08	21742.48	1070.73	1025.28	631.08	629.97	398.56	352.34	247.64	219.09	177.89	180.70	157.99	144.76	132.81	128.78	125.97	126.56	124.58	119.47	116.51	104.06	98.79	90.48	90.40	85.93	83.24	76.23	75.81	74.89	80.09	83.78	92.97	98.19	109.68	111.12	111.66	107.80	980.12
Feb 22 2023 18:04:09	20579.75	1200.37	1152.26	718.58	705.49	427.43	371.49	258.81	227.94	187.11	189.06	169.14	157.73	146.91	143.95	141.35	142.93	139.61	131.88	128.91	113.44	106.71	97.33	97.47	93.60	91.62	85.30	85.99	86.33	93.33	98.66	110.27	117.27	130.17	132.53	131.71	126.87	980.15
Feb 22 2023 18:04:10	18395.86	1514.37	1593.83	842.25	863.70	487.48	441.03	288.98	259.53	205.00	207.98	182.99	169.92	158.84	157.47	156.33	158.80	154.77	148.11	140.59	122.76	110.66	99.41	98.83	97.15	97.09	93.53	96.90	100.36	110.20	119.13	133.48	143.22	157.93	161.42	159.26	153.30	980.18
Feb 22 2023 18:04:11	21158.36	777.42	857.17	508.70	540.66	335.95	311.47	221.50	203.78	167.47	175.89	156.13	150.06	142.84	143.56	143.76	147.06	147.13	142.90	138.37	124.10	115.01	104.87	103.44	99.20	95.14	86.55	84.35	82.48	87.16	91.53	100.95	107.46	118.82	121.54	120.46	116.33	980.19
Feb 22 2023 18:04:12	21884.00	727.38	757.58	492.45	498.56	321.65	291.34	213.51	191.51	155.32	159.87	140.66	133.49	126.49	125.92	126.71	129.26	129.62	125.10	120.60	106.80	98.17	87.60	86.05	82.39	80.07	73.29	72.36	71.06	75.93	79.79	88.31	94.37	104.80	107.88	107.70	105.30	980.20
Feb 22 2023 18:04:13	22096.48	1116.41	1195.70	676.17	706.36	422.48	385.60	252.88	230.59	182.88	191.66	162.46	148.61	132.51	127.97	122.27	121.07	118.79	111.67	109.09	94.86	87.26	75.91	74.38	70.33	70.21	64.56	65.53	64.91	70.39	74.25	82.92	88.65	99.29	102.24	102.59	100.39	980.23
