Min Scattering Error Threshold,Detector Range,Particle Diameter Setting,Filename,MMAD,RF,FPF
25,1-Last-13,1 um - 100 um,Exp020-25-1_Last-13-0um100um.txt,,,
25,1-Last-14,1 um - 100 um,Exp020-25-1_Last-14-0um100um.txt,,,
25,1-Last-15,1 um - 100 um,Exp020-25-1_Last-15-0um100um.txt,,,
25,1-Last-16,1 um - 100 um,Exp020-25-1_Last-16-0um100um.txt,,,
25,1-Last-17,1 um - 100 um,Exp020-25-1_Last-17-0um100um.txt,,,
25,1-Last-18,1 um - 100 um,Exp020-25-1_Last-18-0um100um.txt,,,
25,1-Last-19,1 um - 100 um,Exp020-25-1_Last-19-0um100um.txt,,,
25,1-Last-20,1 um - 100 um,Exp020-25-1_Last-20-0um100um.txt,,,
25,1-Last-21,1 um - 100 um,Exp020-25-1_Last-21-0um100um.txt,,,
25,1-Last-22,1 um - 100 um,Exp020-25-1_Last-22-0um100um.txt,,,
25,1-Last-23,1 um - 100 um,Exp020-25-1_Last-23-0um100um.txt,,,
25,1-Last-24,1 um - 100 um,Exp020-25-1_Last-24-0um100um.txt,,,
25,1-Last-25,1 um - 100 um,Exp020-25-1_Last-25-0um100um.txt,,,
